Id,CreationDate,PostId,RelatedPostId,LinkTypeId
149,2011-08-17T16:20:34.470,13,31,1
189,2011-08-17T20:07:57.923,39,6,1
309,2011-08-18T05:03:25.590,6,36,1
361,2011-08-18T13:12:20.837,2,61,1
872,2011-08-21T04:25:21.707,57,65,1
1297,2011-08-23T18:41:03.870,88,3,1
2373,2011-08-30T02:43:41.953,125,124,1
2624,2011-08-31T00:49:18.383,135,36,1
3475,2011-09-07T04:55:40.163,159,80,1
3551,2011-09-08T02:30:10.037,147,75,1
3677,2011-09-08T10:01:11.860,177,173,1
3878,2011-09-09T12:33:28.023,187,173,1
3929,2011-09-10T00:45:34.733,184,79,1
3980,2011-09-12T00:05:44.933,184,124,1
4106,2011-09-12T15:59:01.967,204,203,1
4407,2011-09-13T21:38:47.650,220,88,1
5133,2011-09-18T16:33:03.833,249,243,1
5159,2011-09-18T16:34:32.230,243,249,1
6535,2011-09-23T16:51:56.270,303,146,1
6786,2011-09-25T17:54:38.773,316,147,1
6862,2011-09-26T10:08:27.547,320,294,1
7863,2011-10-01T14:21:20.960,344,250,1
8139,2011-10-04T17:45:00.087,358,69,1
8290,2011-10-05T02:37:33.107,363,147,1
8841,2011-10-07T15:41:11.173,381,346,1
9517,2011-10-11T14:33:06.450,400,395,1
9693,2011-10-12T23:33:13.083,409,290,1
9694,2011-10-13T00:27:47.303,410,290,1
9770,2011-10-13T03:04:10.073,410,346,1
9846,2011-10-13T12:45:22.663,408,173,1
10672,2011-10-17T14:23:16.970,439,431,1
10973,2011-10-18T14:44:40.130,460,411,1
12674,2011-10-26T18:47:22.863,514,512,1
12700,2011-10-26T20:18:13.483,515,512,1
12898,2011-10-27T16:08:20.070,518,427,1
13211,2011-10-29T13:24:44.860,534,101,1
13622,2011-11-01T04:26:48.577,564,563,1
13673,2011-11-01T15:41:28.937,566,568,1
13699,2011-11-01T18:48:42.770,397,570,1
14259,2011-11-07T21:33:50.883,606,592,1
14272,2011-11-08T05:08:54.040,605,101,1
14273,2011-11-08T05:37:05.393,611,5,1
14362,2011-11-08T15:12:24.407,614,270,1
14912,2011-11-14T15:24:40.040,644,454,1
15001,2011-11-14T20:42:36.033,646,69,1
15103,2011-11-15T14:26:42.063,636,651,1
15649,2011-11-21T23:26:24.057,679,517,1
16245,2011-11-25T20:48:59.460,707,208,1
16318,2011-11-26T16:06:19.467,679,523,1
17006,2011-12-01T21:01:22.167,748,715,1
17009,2011-12-02T03:29:44.987,749,748,1
17361,2011-12-03T13:55:00.210,847,813,1
17592,2011-12-05T18:19:23.867,741,736,1
18009,2011-12-09T14:59:10.490,941,905,1
18399,2011-12-14T03:12:02.417,948,715,1
18660,2011-12-16T15:01:12.080,971,124,1
18686,2011-12-16T17:24:10.537,976,953,1
18696,2011-12-16T22:42:10.773,976,812,1
18703,2011-12-17T06:13:08.360,966,31,1
19720,2011-12-23T22:11:47.113,1021,971,1
19848,2011-12-26T15:52:47.797,1032,1012,1
20185,2011-12-29T21:38:30.157,1043,1012,1
20431,2012-01-02T07:21:09.257,1045,905,1
20663,2012-01-03T21:40:35.017,1062,651,1
20678,2012-01-04T02:57:32.320,1049,481,1
21255,2012-01-08T06:16:35.517,1099,1054,1
21311,2012-01-08T19:44:01.260,1100,322,1
21338,2012-01-08T22:18:04.623,1102,1100,1
21413,2012-01-09T14:47:09.407,1103,812,1
21425,2012-01-09T16:19:51.667,1104,1100,1
21483,2012-01-10T13:36:09.310,1108,31,1
22422,2012-01-17T21:31:49.007,1167,710,1
22682,2012-01-19T14:52:33.567,1179,188,1
22728,2012-01-19T18:36:41.810,1178,1164,1
22852,2012-01-20T21:38:16.250,1192,1178,1
24724,2012-01-31T18:42:44.180,1292,450,1
24996,2012-02-01T13:53:55.630,1297,1136,1
25932,2012-02-07T00:30:48.723,1359,1171,1
26422,2012-02-09T04:56:23.763,1336,1096,1
26455,2012-02-09T17:18:25.737,1292,1358,1
26731,2012-02-11T00:08:28.570,1403,1281,1
26800,2012-02-11T12:00:22.867,1411,1370,1
26892,2012-02-11T17:57:17.837,1415,1406,1
27636,2012-02-14T16:25:21.310,1449,1433,1
28076,2012-02-16T17:36:11.423,1483,1358,1
28620,2012-02-19T03:43:34.160,1112,1493,1
29210,2012-02-21T15:56:21.653,1195,1302,1
29211,2012-02-21T16:44:12.800,1523,1242,1
29421,2012-02-22T12:05:47.777,1493,450,1
29422,2012-02-22T12:05:47.777,1493,1292,1
29423,2012-02-22T12:05:47.780,1493,1395,1
29471,2012-02-22T16:17:43.030,1482,102,1
29545,2012-02-23T01:56:32.193,1531,1456,1
29671,2012-02-24T03:16:43.903,483,1302,1
29685,2012-02-24T05:54:47.700,160,1544,1
30387,2012-02-27T19:43:07.267,1579,1242,1
30393,2012-02-27T20:13:55.913,1579,1523,1
31102,2012-03-02T17:56:44.047,1603,1483,1
31228,2012-03-03T15:11:01.290,1523,1579,1
31229,2012-03-03T17:21:31.010,1618,208,1
31586,2012-03-05T13:18:40.053,1631,1317,1
32027,2012-03-07T08:29:18.340,1654,515,1
32406,2012-03-09T12:36:56.043,1471,1657,1
32574,2012-03-09T19:25:29.250,1680,1671,1
32898,2012-03-13T00:16:11.250,1699,1483,1
33431,2012-03-14T18:25:54.213,1714,701,1
33479,2012-03-15T07:41:45.050,1708,1714,1
33482,2012-03-15T07:50:00.097,1656,1637,1
33537,2012-03-15T12:18:12.330,1714,1708,1
33588,2012-03-15T15:07:57.703,1733,1708,1
33589,2012-03-15T15:07:57.707,1733,1714,1
33807,2012-03-16T13:06:23.847,1708,74,1
33923,2012-03-16T17:23:05.033,1659,1718,1
34148,2012-03-17T19:16:45.690,1759,1681,1
34149,2012-03-17T20:27:16.627,1761,1739,1
34252,2012-03-18T15:12:45.993,1762,1759,1
34904,2012-03-21T11:00:25.557,1789,1302,1
34905,2012-03-21T11:00:25.557,1789,1195,1
35301,2012-03-23T04:33:37.143,1643,1288,1
35308,2012-03-23T04:42:46.937,1281,1403,1
35616,2012-03-24T22:12:52.877,1828,1493,1
35617,2012-03-24T22:12:52.877,1828,1292,1
35618,2012-03-24T22:12:52.877,1828,450,1
35619,2012-03-24T22:12:52.880,1828,1395,1
35815,2012-03-26T06:37:56.110,1738,419,1
35816,2012-03-26T06:37:56.110,1738,1215,1
35994,2012-03-26T17:41:30.820,1843,651,1
36036,2012-03-27T00:55:35.087,1847,411,1
36254,2012-03-28T09:37:32.530,1195,1789,1
37009,2012-03-31T14:09:21.983,1895,686,1
37010,2012-03-31T14:09:21.983,1895,945,1
37932,2012-04-05T18:38:09.633,1906,1780,1
38101,2012-04-06T20:17:36.903,1954,1317,1
38282,2012-04-07T19:54:12.753,1966,1894,1
38498,2012-04-09T07:21:45.100,1924,1737,1
38512,2012-04-09T07:55:23.847,1916,1659,1
38524,2012-04-09T08:04:47.720,1958,1883,1
38527,2012-04-09T08:10:18.230,1906,1433,1
38758,2012-04-10T11:10:16.963,1983,1254,1
38790,2012-04-10T13:31:50.083,1994,1135,1
39815,2012-04-14T17:12:39.400,2061,1096,1
40258,2012-04-16T18:20:58.560,715,424,1
40284,2012-04-16T21:26:19.643,2085,675,1
40952,2012-04-19T13:59:11.263,2110,1714,1
41224,2012-04-20T04:36:23.197,2119,1919,1
42344,2012-04-26T12:55:58.770,2182,2170,1
42453,2012-04-27T14:01:16.543,2191,2149,1
43043,2012-05-01T16:58:05.907,2229,2183,1
43316,2012-05-02T17:17:15.793,2249,2203,1
43548,2012-05-02T23:53:01.863,2251,2256,1
43549,2012-05-03T00:25:47.743,2247,454,1
43721,2012-05-03T20:57:40.827,2272,1828,1
43756,2012-05-04T01:01:09.590,2275,1637,1
43757,2012-05-04T01:01:09.590,2275,1603,1
44084,2012-05-05T04:26:11.100,2294,1243,1
44594,2012-05-08T12:18:31.840,2312,2304,1
45303,2012-05-13T20:13:24.883,2349,2051,1
45304,2012-05-13T20:13:24.883,2349,971,1
45456,2012-05-14T16:21:43.453,2352,2321,1
45930,2012-05-16T09:32:06.203,2386,1522,1
45956,2012-05-16T09:39:41.933,2386,912,1
45986,2012-05-16T13:01:32.140,2367,1522,1
45987,2012-05-16T14:01:49.290,2386,2367,1
45988,2012-05-16T14:04:46.843,2367,2045,1
46066,2012-05-16T23:49:09.273,2045,2341,1
46275,2012-05-18T00:19:21.860,2401,101,1
46460,2012-05-18T14:47:54.600,2411,1659,1
46461,2012-05-18T14:47:54.600,2411,1932,1
46490,2012-05-18T16:06:28.120,2412,1828,1
46553,2012-05-18T20:44:05.587,2412,2045,1
47327,2012-05-23T21:34:49.473,2445,270,1
47799,2012-05-26T02:17:05.263,2475,192,1
48396,2012-05-30T14:23:04.093,2486,2490,1
48397,2012-05-30T14:23:04.093,2486,986,1
48817,2012-06-01T10:36:10.310,2537,2522,1
49332,2012-06-05T08:17:12.493,2556,1671,1
49563,2012-06-05T14:53:17.020,294,2568,1
49609,2012-06-05T15:13:21.490,2565,454,1
50032,2012-06-07T09:27:02.910,1433,2422,1
50104,2012-06-08T07:44:50.527,2564,2588,1
51095,2012-06-15T10:41:44.263,2621,374,1
51270,2012-06-16T20:21:06.903,741,331,1
51695,2012-06-18T20:15:25.240,2641,2304,1
51723,2012-06-19T09:46:32.477,2565,1625,1
51842,2012-06-19T16:30:41.480,2650,427,1
52850,2012-06-24T21:58:23.333,2711,2341,1
52851,2012-06-24T21:58:23.333,2711,2686,1
53169,2012-06-26T14:35:08.613,2719,2523,1
53335,2012-06-27T11:07:00.690,2721,270,1
53443,2012-06-28T00:16:37.707,2728,1828,1
53691,2012-06-29T09:00:31.050,2659,2736,1
53698,2012-06-29T10:02:54.170,1881,2736,1
53870,2012-06-29T21:12:51.657,2744,184,1
54096,2012-07-01T20:50:40.637,2753,427,1
54290,2012-07-02T15:11:49.583,2753,2621,1
54406,2012-07-03T09:25:49.620,2753,2665,1
54588,2012-07-04T01:19:02.047,2776,427,1
54778,2012-07-04T15:59:28.200,2791,2785,1
55350,2012-07-07T10:49:31.667,2753,2411,1
55351,2012-07-07T10:49:31.670,2753,2687,1
55352,2012-07-07T10:49:31.683,2753,2420,1
55353,2012-07-07T10:49:31.687,2753,470,1
55354,2012-07-07T10:49:31.687,2753,1883,1
56530,2012-07-14T07:50:02.770,2839,2406,1
57632,2012-07-20T19:23:56.323,2931,953,1
57633,2012-07-20T19:23:56.323,2931,2705,1
58026,2012-07-23T23:58:24.610,2951,290,1
58246,2012-07-24T17:25:52.777,2770,2961,1
59162,2012-07-30T11:01:11.923,2984,427,1
59481,2012-07-31T18:36:05.787,2998,2999,1
59546,2012-08-01T06:52:53.303,3006,3000,1
