Id,TagName,Count,ExcerptPostId,WikiPostId
1,adaptive-filters,152,871,870
4,algorithms,318,827,826
12,arm,10,,
14,dsp-core,165,29573,29572
15,stereo-vision,25,38,37
16,computer-vision,625,877,876
18,hardware,19,909,908
21,parks-mclellan,18,,
22,interpolation,193,796,795
25,speech-recognition,158,44,43
29,image-processing,2271,753,752
30,lowpass-filter,401,794,793
31,frequency,476,798,797
34,analytic-signal,39,,
35,noise,746,782,781
36,camera,53,856,855
37,mfcc,142,17167,17166
38,filters,1824,755,754
41,dct,92,330,329
42,dft,581,42,41
43,resolution,46,784,783
56,highpass-filter,92,923,922
57,edge-detection,117,767,766
58,decimation,66,835,834
59,downsampling,132,761,760
60,sampling,625,763,762
64,preprocessing,35,792,791
65,ica,41,889,888
67,filter-design,726,778,777
69,performance,11,,
70,estimators,16,,
72,modulation,357,800,799
77,fourier-transform,1168,765,764
80,continuous-signals,376,839,838
81,discrete-signals,1319,770,769
82,transfer-function,256,837,836
85,matched-filter,66,875,874
87,digital-communications,684,821,820
94,software-implementation,64,2035,2034
95,finite-impulse-response,75,759,758
96,infinite-impulse-response,300,757,756
97,impulse-response,259,788,787
98,state-space,55,,
99,linear-systems,347,4781,4780
103,hardware-implementation,25,,
104,audio,1079,823,822
106,bandpass,166,831,830
108,music,102,,
112,distance-metrics,31,,
113,biquad,52,1146,1145
115,aliasing,101,774,773
117,speech-synthesis,15,,
120,singing,3,,
121,image-registration,52,904,903
122,kalman-filters,257,299,298
124,fft,1917,336,335
125,voice,88,,
126,random,54,,
127,zero-padding,66,887,886
128,video-processing,101,2033,2032
129,mp3,17,921,920
130,window-functions,203,819,818
132,reference-request,114,13692,13691
133,ofdm,206,8813,8812
134,demodulation,189,802,801
135,approximation,42,,
136,autocorrelation,295,790,789
138,acoustics,67,,
141,spectrogram,189,881,880
142,pitch,137,53260,53259
143,soft-question,31,891,890
144,frequency-spectrum,805,772,771
145,octave,59,843,842
146,bandwidth,146,885,884
149,bpsk,67,815,814
151,timing,9,,
152,multipath,40,,
153,snr,142,896,895
154,statistics,133,879,878
155,coherence,38,833,832
156,terminology,60,50697,50696
157,frequency-response,266,850,849
158,z-transform,297,919,918
159,scale-space,28,,
163,background-subtraction,29,,
165,equalization,96,,
169,real-time,98,4877,4876
170,online-processing,7,,
173,homework,284,883,882
175,correlation,145,841,840
176,wavelet,405,776,775
177,convolution,541,907,906
178,classification,100,12773,12772
181,point-cloud,16,,
182,autoregressive-model,66,,
183,speech,116,,
184,adaptive-algorithms,51,,
187,ergodic,11,894,893
188,averaging,31,937,936
190,matlab,2088,751,750
191,stft,167,,
195,waveform-similarity,29,,
196,cross-correlation,260,902,901
199,measurement,49,,
203,system-identification,81,,
204,morphological-operations,32,12784,12783
205,smoothing,101,4775,4774
206,moving-average,76,,
207,optical-char-recognition,11,,
208,covariance,59,,
209,anisotropic-diffusion,12,,
213,phase,332,12770,12769
214,fourier-series,159,,
215,gibbs-phenomenon,8,,
218,independence,10,,
219,compression,74,12776,12775
220,local-features,74,,
221,tracking,35,,
222,peak-detection,82,31268,31267
223,shape-analysis,25,,
224,3d,74,,
226,opencv,294,1803,1802
227,eeg,80,3025,3024
230,analog,64,,
234,c,97,3138,3137
235,fourier,167,,
236,decomposition,47,18678,18677
237,wave,83,,
241,histogram,51,,
244,ocr,32,12788,12787
245,text-recognition,13,,
246,segmentation,25,,
247,thresholding,48,,
250,image,419,3135,3134
251,canny-edge-detector,16,38422,38421
252,untagged,1,44971,44970
254,filter-bank,51,,
258,object-recognition,87,,
260,optical-flow,26,,
262,hough-transform,47,,
263,separability,11,,
265,1d,7,,
266,2d,53,,
267,motion-detection,19,,
270,sound,204,,
273,sift,52,,
276,matrix,96,12782,12781
277,signal-detection,280,,
281,fingerprint-recognition,9,,
283,homography,23,,
284,estimation,253,4777,4776
286,transform,180,4779,4778
287,video-compression,35,,
288,cbir,6,,
289,image-compression,62,15520,15519
290,jpeg,36,15257,15256
292,template-matching,34,,
293,image-segmentation,272,3468,3467
294,feedback,18,,
295,control-systems,147,,
296,qpsk,72,26579,26578
297,supersampling,13,,
300,time-frequency,145,,
304,python,533,2185,2184
306,digitize,8,,
309,linear-algebra,72,12780,12779
311,nyquist,152,,
312,gaussian,224,,
315,psd,77,21875,21874
316,power-spectral-density,379,35502,35501
319,least-squares,72,,
320,optimization,92,,
321,information-theory,78,,
323,compressive-sensing,89,15651,15650
324,face-detection,33,,
325,visualization,28,,
328,zeros,6,,
334,augmented-reality,5,3189,3188
336,c#,42,12679,12678
337,channelcoding,83,35600,35599
339,distortion,52,,
340,theory,35,,
343,camera-pose,25,,
344,visual-tracking,31,2748,2747
345,fsk,49,8947,8946
351,position,14,,
352,blind-deconvolution,26,12790,12789
353,gradient,40,,
354,superresolution,25,12674,12673
355,denoising,124,21879,21878
358,stitching,15,,
359,photo,6,,
360,cepstral-analysis,41,,
361,attenuation,8,,
363,forward-error-correction,31,,
366,linear-chirp,20,,
374,motion,23,,
375,gabor,42,,
376,geometry,24,,
